payment_id,customer_id,amount,payment_method,payment_status,failure_reason,failed_attempts,previous_successful_payments,days_since_last_payment,checkout_abandoned,recovered,recovery_action,recovered_amount
P00074,C1084,961.16,UPI,success,none,0,7,167,no,no,none,0.0
P00075,C1092,1204.37,UPI,success,none,0,9,89,no,no,none,0.0
P00076,C1111,263.37,Netbanking,success,none,0,7,10,no,no,none,0.0
P00077,C1188,475.14,Card,success,none,0,6,74,no,no,none,0.0
P00078,C1199,4126.38,Card,success,none,0,6,77,no,no,none,0.0
P00079,C1172,5083.35,Card,success,none,0,9,54,no,no,none,0.0
P00080,C1008,1228.1,UPI,failed,insufficient_funds,5,2,157,no,no,escalate,0.0
P00081,C1175,2281.11,UPI,success,none,0,3,102,no,no,none,0.0
P00082,C1035,1869.52,Card,failed,authentication_failed,4,9,169,yes,no,escalate,0.0
P00083,C1206,14900.66,Card,failed,bank_decline,1,3,137,no,no,stop,0.0
P00084,C1081,3427.82,Netbanking,success,none,0,8,165,no,no,none,0.0
P00085,C1164,1344.88,Card,failed,insufficient_funds,4,5,142,no,yes,reminder,1344.88
P00086,C1050,722.95,Card,failed,authentication_failed,3,4,101,yes,no,stop,0.0
P00087,C1104,443.71,UPI,failed,authentication_failed,3,9,73,no,no,stop,0.0
P00088,C1132,1724.34,UPI,success,none,0,2,72,no,no,none,0.0
P00089,C1002,839.44,UPI,success,none,0,5,167,no,no,none,0.0
P00090,C1134,509.44,UPI,success,none,0,10,168,no,no,none,0.0
P00091,C1054,911.48,Card,success,none,0,5,54,no,no,none,0.0
P00092,C1106,657.76,Wallet,success,none,0,4,3,no,no,none,0.0
P00093,C1004,5246.71,UPI,failed,insufficient_funds,4,7,111,no,no,escalate,0.0
P00094,C1054,2867.6,UPI,success,none,0,3,161,no,no,none,0.0
P00095,C1221,1471.47,Card,success,none,0,6,96,no,no,none,0.0
P00096,C1191,4491.57,UPI,success,none,0,3,71,no,no,none,0.0
P00097,C1146,1568.74,Card,failed,insufficient_funds,3,3,19,no,no,stop,0.0
P00098,C1218,775.91,Card,success,none,0,4,34,no,no,none,0.0
P00099,C1044,4639.41,Card,success,none,0,1,50,no,no,none,0.0
P00100,C1162,2217.6,UPI,failed,insufficient_funds,2,2,175,no,no,stop,0.0
P00101,C1202,679.98,UPI,success,none,0,4,46,no,no,none,0.0
P00102,C1190,1283.37,Card,failed,network_error,2,5,83,yes,yes,retry,1283.37
P00103,C1228,767.61,Card,failed,bank_decline,3,8,51,no,no,stop,0.0
P00104,C1014,524.74,UPI,success,none,0,7,54,no,no,none,0.0
P00105,C1095,2965.0,Card,failed,network_error,3,7,90,yes,yes,retry,2965.0
P00106,C1048,6198.5,UPI,success,none,0,2,81,no,no,none,0.0
P00107,C1015,518.57,Card,success,none,0,6,118,no,no,none,0.0
P00108,C1200,2257.98,UPI,failed,technical_timeout,2,8,156,no,no,stop,0.0
P00109,C1206,908.7,Wallet,success,none,0,6,19,no,no,none,0.0
P00110,C1215,1027.27,UPI,failed,technical_timeout,3,4,27,no,yes,payment_link,1027.27
P00111,C1249,949.28,UPI,failed,bank_decline,3,4,176,yes,yes,retry,949.28
P00112,C1190,774.34,UPI,failed,insufficient_funds,4,4,147,yes,no,escalate,0.0
P00113,C1040,1535.16,UPI,failed,insufficient_funds,1,1,179,no,yes,payment_link,1535.16
P00114,C1213,793.76,Netbanking,failed,bank_decline,2,6,7,no,yes,retry,793.76
P00115,C1208,1813.19,Wallet,success,none,0,8,157,no,no,none,0.0
P00116,C1237,1425.56,UPI,success,none,0,7,171,no,no,none,0.0
P00117,C1082,1237.43,UPI,failed,technical_timeout,4,7,69,yes,yes,retry,1237.43
P00118,C1111,749.44,Card,success,none,0,6,94,no,no,none,0.0
P00119,C1053,960.47,Netbanking,success,none,0,6,113,no,no,none,0.0
P00120,C1024,2608.53,Card,success,none,0,4,107,no,no,none,0.0
P00121,C1154,2155.31,UPI,success,none,0,3,120,no,no,none,0.0
P00122,C1217,711.11,UPI,failed,network_error,1,6,136,no,yes,retry,711.11
P00123,C1188,1594.79,Card,failed,technical_timeout,3,3,170,yes,no,stop,0.0
P00124,C1124,2600.71,UPI,success,none,0,10,42,no,no,none,0.0
P00125,C1237,423.24,Card,success,none,0,5,13,no,no,none,0.0
P00126,C1041,2225.02,UPI,failed,authentication_failed,3,6,154,yes,no,stop,0.0
P00127,C1157,900.57,Card,failed,bank_decline,4,6,18,no,no,escalate,0.0
P00128,C1015,2270.94,UPI,success,none,0,4,42,no,no,none,0.0
P00129,C1045,835.1,Card,success,none,0,6,51,no,no,none,0.0
P00130,C1065,382.35,UPI,success,none,0,5,113,no,no,none,0.0
P00131,C1089,436.74,Card,success,none,0,3,144,no,no,none,0.0
P00132,C1071,1534.66,UPI,success,none,0,2,101,no,no,none,0.0
P00133,C1009,1798.65,Card,success,none,0,3,3,no,no,none,0.0
P00134,C1088,751.27,Card,success,none,0,2,79,no,no,none,0.0
P00135,C1129,2389.75,Card,failed,insufficient_funds,3,8,98,yes,no,stop,0.0
P00136,C1236,425.75,Card,success,none,0,7,173,no,no,none,0.0
P00137,C1136,1408.72,Card,success,none,0,4,150,no,no,none,0.0
P00138,C1216,596.89,Card,failed,bank_decline,5,3,23,no,yes,retry,596.89
P00139,C1063,907.89,UPI,success,none,0,3,59,no,no,none,0.0
P00140,C1139,1533.87,Netbanking,success,none,0,6,113,no,no,none,0.0
P00141,C1243,776.42,UPI,success,none,0,5,68,no,no,none,0.0
P00142,C1081,1109.41,UPI,failed,technical_timeout,4,1,54,no,no,escalate,0.0
P00143,C1136,3148.62,UPI,failed,network_error,1,8,57,no,yes,reminder,3148.62
P00144,C1163,960.38,UPI,success,none,0,9,151,no,no,none,0.0
P00145,C1163,2770.46,Card,failed,technical_timeout,4,4,111,no,no,escalate,0.0
P00146,C1033,634.43,Card,success,none,0,7,60,no,no,none,0.0
P00147,C1123,2202.51,Card,success,none,0,3,73,no,no,none,0.0
P00148,C1005,4364.14,UPI,failed,bank_decline,2,7,55,no,yes,retry,4364.14
P00149,C1234,231.89,UPI,success,none,0,5,117,no,no,none,0.0
P00150,C1231,814.3,UPI,success,none,0,6,63,no,no,none,0.0
P00151,C1250,2281.99,UPI,failed,insufficient_funds,4,8,55,no,no,escalate,0.0
P00152,C1041,1271.2,UPI,success,none,0,2,25,no,no,none,0.0
P00153,C1028,1955.42,UPI,success,none,0,4,26,no,no,none,0.0
P00154,C1135,941.06,UPI,success,none,0,9,177,no,no,none,0.0
P00155,C1201,1579.62,Card,success,none,0,4,63,no,no,none,0.0
P00156,C1072,1317.17,Card,success,none,0,4,173,no,no,none,0.0
P00157,C1012,3554.03,Wallet,success,none,0,3,73,no,no,none,0.0
P00158,C1162,1791.51,Netbanking,success,none,0,4,79,no,no,none,0.0
P00159,C1033,1906.84,Card,success,none,0,4,167,no,no,none,0.0
P00160,C1048,1086.91,UPI,success,none,0,6,65,no,no,none,0.0
P00161,C1247,1026.9,Card,failed,technical_timeout,3,7,69,no,no,stop,0.0
P00162,C1151,1070.18,Card,success,none,0,3,9,no,no,none,0.0
P00163,C1062,1989.9,UPI,failed,insufficient_funds,3,6,156,no,no,stop,0.0
P00164,C1216,1079.51,UPI,failed,authentication_failed,5,8,173,no,no,escalate,0.0
P00165,C1037,1839.65,Netbanking,failed,authentication_failed,5,7,26,yes,yes,retry,1839.65
P00166,C1099,7020.23,UPI,success,none,0,3,28,no,no,none,0.0
P00167,C1172,2845.07,Card,success,none,0,4,40,no,no,none,0.0
P00168,C1104,1159.2,Card,success,none,0,6,143,no,no,none,0.0
P00169,C1214,3644.27,UPI,success,none,0,8,134,no,no,none,0.0
P00170,C1219,1090.01,UPI,success,none,0,3,27,no,no,none,0.0
P00171,C1035,320.99,UPI,success,none,0,4,38,no,no,none,0.0
P00172,C1193,695.02,UPI,success,none,0,3,85,no,no,none,0.0
P00173,C1227,363.91,UPI,success,none,0,8,64,no,no,none,0.0
P00174,C1101,1137.25,Netbanking,failed,technical_timeout,5,1,30,no,no,escalate,0.0
P00175,C1175,1500.89,UPI,success,none,0,3,99,no,no,none,0.0
P00176,C1206,5204.76,UPI,success,none,0,7,131,no,no,none,0.0
P00177,C1131,1891.63,UPI,success,none,0,5,12,no,no,none,0.0
P00178,C1001,1255.98,Netbanking,failed,insufficient_funds,1,9,91,no,no,stop,0.0
P00179,C1005,2757.43,UPI,success,none,0,5,30,no,no,none,0.0
P00180,C1218,281.93,UPI,failed,bank_decline,5,4,38,no,no,escalate,0.0
P00181,C1247,1766.42,Netbanking,success,none,0,5,85,no,no,none,0.0
P00182,C1142,2638.98,Netbanking,success,none,0,7,60,no,no,none,0.0
P00183,C1103,488.36,UPI,success,none,0,3,38,no,no,none,0.0
P00184,C1027,3490.55,Card,failed,bank_decline,1,6,104,no,yes,retry,3490.55
P00185,C1137,1908.12,UPI,success,none,0,7,143,no,no,none,0.0
P00186,C1207,1084.13,UPI,success,none,0,4,146,no,no,none,0.0
P00187,C1015,2379.36,UPI,success,none,0,4,180,no,no,none,0.0
P00188,C1090,8127.59,UPI,success,none,0,4,29,no,no,none,0.0
P00189,C1042,1696.63,Card,failed,insufficient_funds,5,3,112,no,no,escalate,0.0
P00190,C1124,1783.2,UPI,success,none,0,4,21,no,no,none,0.0
P00191,C1205,1048.88,UPI,success,none,0,2,145,no,no,none,0.0
P00192,C1179,782.6,Card,success,none,0,7,146,no,no,none,0.0
P00193,C1063,2759.35,Card,failed,insufficient_funds,1,6,119,no,yes,payment_link,2759.35
P00194,C1096,778.94,UPI,success,none,0,7,165,no,no,none,0.0
P00195,C1231,1561.93,Card,success,none,0,5,60,no,no,none,0.0
P00196,C1241,1034.59,UPI,success,none,0,4,166,no,no,none,0.0
P00197,C1052,2120.13,Card,failed,technical_timeout,4,5,140,yes,no,escalate,0.0
P00198,C1096,1901.21,Card,success,none,0,4,113,no,no,none,0.0
P00199,C1132,3223.28,Wallet,failed,technical_timeout,4,7,129,no,no,escalate,0.0
P00200,C1222,1009.78,UPI,failed,bank_decline,3,5,58,yes,yes,payment_link,1009.78
P00201,C1229,1209.05,UPI,failed,insufficient_funds,1,6,3,no,yes,retry,1209.05
P00202,C1151,710.47,UPI,success,none,0,5,149,no,no,none,0.0
P00203,C1231,1060.8,UPI,success,none,0,2,23,no,no,none,0.0
P00204,C1237,1964.47,UPI,success,none,0,4,137,no,no,none,0.0
P00205,C1143,2611.66,Netbanking,failed,bank_decline,2,4,83,no,yes,retry,2611.66
P00206,C1171,741.28,UPI,success,none,0,6,55,no,no,none,0.0
P00207,C1029,2841.83,UPI,success,none,0,11,110,no,no,none,0.0
P00208,C1036,4091.75,Card,success,none,0,6,116,no,no,none,0.0
P00209,C1013,2018.43,UPI,success,none,0,8,147,no,no,none,0.0
P00210,C1160,6048.69,Card,failed,bank_decline,3,5,62,yes,no,stop,0.0
P00211,C1071,828.53,UPI,success,none,0,3,87,no,no,none,0.0
P00212,C1187,582.02,UPI,failed,authentication_failed,4,5,167,yes,yes,retry,582.02
P00213,C1243,389.93,UPI,success,none,0,1,100,no,no,none,0.0
P00214,C1086,4546.14,UPI,failed,bank_decline,1,8,27,no,no,stop,0.0
P00215,C1028,2418.19,Netbanking,failed,insufficient_funds,5,6,174,yes,yes,payment_link,2418.19
P00216,C1066,1419.86,UPI,failed,bank_decline,2,4,34,yes,yes,retry,1419.86
P00217,C1170,1826.17,Card,success,none,0,7,33,no,no,none,0.0
P00218,C1045,636.44,UPI,failed,network_error,4,1,92,no,no,escalate,0.0
P00219,C1062,9267.92,UPI,success,none,0,7,96,no,no,none,0.0
P00220,C1185,1630.95,Netbanking,success,none,0,3,178,no,no,none,0.0
P00221,C1245,1606.87,UPI,failed,technical_timeout,3,9,148,yes,yes,reminder,1606.87
P00222,C1134,2551.21,Card,success,none,0,4,168,no,no,none,0.0
P00223,C1028,2123.36,Wallet,failed,bank_decline,1,2,95,no,yes,retry,2123.36
P00224,C1028,1750.95,Card,success,none,0,4,159,no,no,none,0.0
P00225,C1108,818.23,Netbanking,success,none,0,6,38,no,no,none,0.0
P00226,C1044,2108.22,UPI,failed,insufficient_funds,2,2,173,no,yes,retry,2108.22
P00227,C1084,6072.46,UPI,failed,authentication_failed,1,1,41,yes,yes,payment_link,6072.46
P00228,C1030,4060.51,UPI,failed,network_error,5,7,137,no,yes,retry,4060.51
P00229,C1190,4889.72,Card,success,none,0,7,137,no,no,none,0.0
P00230,C1075,1008.87,Wallet,success,none,0,6,79,no,no,none,0.0
P00231,C1128,704.72,UPI,success,none,0,8,128,no,no,none,0.0
P00232,C1250,1347.03,Card,success,none,0,7,22,no,no,none,0.0
P00233,C1247,1543.48,UPI,failed,bank_decline,3,5,16,no,yes,payment_link,1543.48
P00234,C1092,3363.18,Card,success,none,0,6,32,no,no,none,0.0
P00235,C1217,415.99,UPI,success,none,0,6,142,no,no,none,0.0
P00236,C1231,4661.83,Wallet,failed,network_error,1,7,38,no,no,stop,0.0
P00237,C1190,1314.87,Card,failed,network_error,4,6,98,no,no,escalate,0.0
P00238,C1225,1074.75,UPI,failed,network_error,3,3,136,no,no,stop,0.0
P00239,C1129,692.92,UPI,success,none,0,3,21,no,no,none,0.0
P00240,C1121,427.89,UPI,success,none,0,1,56,no,no,none,0.0
P00241,C1027,2744.57,UPI,failed,technical_timeout,4,5,46,no,yes,retry,2744.57
P00242,C1190,1563.98,UPI,success,none,0,3,43,no,no,none,0.0
P00243,C1121,562.58,Netbanking,failed,technical_timeout,1,9,120,yes,yes,reminder,562.58
P00244,C1116,560.42,Card,success,none,0,8,46,no,no,none,0.0
P00245,C1205,1150.74,Card,failed,insufficient_funds,3,4,48,yes,no,stop,0.0
P00246,C1233,5175.89,UPI,success,none,0,2,84,no,no,none,0.0
P00247,C1003,1218.42,Netbanking,success,none,0,3,31,no,no,none,0.0
P00248,C1103,479.45,Card,success,none,0,2,161,no,no,none,0.0
P00249,C1198,1231.14,UPI,success,none,0,4,172,no,no,none,0.0
P00250,C1200,1206.47,Card,failed,authentication_failed,4,4,71,no,no,escalate,0.0
P00251,C1155,195.85,Card,success,none,0,5,8,no,no,none,0.0
P00252,C1137,1421.23,UPI,failed,technical_timeout,5,8,130,yes,no,escalate,0.0
P00253,C1062,1244.89,UPI,failed,technical_timeout,5,6,145,no,no,escalate,0.0
P00254,C1165,2495.28,UPI,success,none,0,3,52,no,no,none,0.0
P00255,C1225,5923.7,UPI,failed,insufficient_funds,1,5,45,no,yes,reminder,5923.7
P00256,C1051,3445.84,Netbanking,failed,authentication_failed,3,6,37,yes,yes,retry,3445.84
P00257,C1234,1209.95,Netbanking,success,none,0,3,170,no,no,none,0.0
P00258,C1172,645.55,Card,success,none,0,8,44,no,no,none,0.0
P00259,C1152,10198.74,UPI,success,none,0,8,117,no,no,none,0.0
P00260,C1207,1547.53,UPI,failed,authentication_failed,2,5,38,no,yes,retry,1547.53
P00261,C1059,1495.85,Card,failed,bank_decline,3,4,99,yes,yes,payment_link,1495.85
P00262,C1118,1453.76,Card,success,none,0,2,124,no,no,none,0.0
P00263,C1160,1717.39,UPI,failed,authentication_failed,5,6,6,no,yes,reminder,1717.39
P00264,C1096,1328.4,UPI,failed,technical_timeout,4,5,68,no,yes,retry,1328.4
P00265,C1216,962.71,Card,success,none,0,6,179,no,no,none,0.0
P00266,C1233,982.26,UPI,success,none,0,7,101,no,no,none,0.0
P00267,C1180,1444.38,UPI,success,none,0,3,163,no,no,none,0.0
P00268,C1113,984.79,Card,failed,authentication_failed,2,9,134,no,no,stop,0.0
P00269,C1062,867.28,UPI,failed,insufficient_funds,1,2,13,no,yes,payment_link,867.28
P00270,C1241,1603.31,UPI,success,none,0,0,30,no,no,none,0.0
P00271,C1186,1222.64,UPI,failed,insufficient_funds,2,6,100,yes,no,stop,0.0
P00272,C1052,4573.32,UPI,success,none,0,4,2,no,no,none,0.0
P00273,C1012,202.71,Card,success,none,0,6,58,no,no,none,0.0
P00274,C1039,3356.42,UPI,success,none,0,4,36,no,no,none,0.0
P00275,C1130,3769.0,UPI,failed,network_error,1,5,72,no,yes,retry,3769.0
P00276,C1131,312.61,Netbanking,failed,bank_decline,2,2,173,no,no,stop,0.0
P00277,C1113,1144.8,Netbanking,success,none,0,5,137,no,no,none,0.0
P00278,C1101,1120.38,Netbanking,success,none,0,4,126,no,no,none,0.0
P00279,C1113,515.1,UPI,success,none,0,3,77,no,no,none,0.0
P00280,C1184,826.04,UPI,failed,authentication_failed,1,5,50,no,no,stop,0.0
P00281,C1081,643.59,Wallet,failed,insufficient_funds,1,3,32,no,no,stop,0.0
P00282,C1187,5509.35,Card,success,none,0,3,98,no,no,none,0.0
P00283,C1113,2986.21,UPI,success,none,0,4,43,no,no,none,0.0
P00284,C1002,3841.68,UPI,success,none,0,8,125,no,no,none,0.0
P00285,C1130,2543.39,UPI,failed,insufficient_funds,2,5,95,no,no,stop,0.0
P00286,C1220,634.74,Netbanking,success,none,0,4,78,no,no,none,0.0
P00287,C1054,998.86,Card,success,none,0,4,54,no,no,none,0.0
P00288,C1087,2136.73,UPI,success,none,0,4,47,no,no,none,0.0
P00289,C1229,591.94,UPI,success,none,0,4,14,no,no,none,0.0
P00290,C1224,2526.9,Card,failed,insufficient_funds,2,7,176,no,no,stop,0.0
P00291,C1225,1236.15,Netbanking,success,none,0,8,55,no,no,none,0.0
P00292,C1129,1117.54,UPI,failed,technical_timeout,1,7,157,no,yes,reminder,1117.54
P00293,C1147,2523.04,Card,success,none,0,3,175,no,no,none,0.0
P00294,C1126,2065.64,Wallet,success,none,0,6,63,no,no,none,0.0
P00295,C1130,1129.21,UPI,success,none,0,6,19,no,no,none,0.0
P00296,C1053,3531.57,Card,success,none,0,4,91,no,no,none,0.0
P00297,C1172,658.0,UPI,failed,insufficient_funds,5,6,137,yes,no,escalate,0.0
P00298,C1218,2349.49,Card,success,none,0,9,101,no,no,none,0.0
P00299,C1160,2309.59,Card,success,none,0,6,37,no,no,none,0.0
P00300,C1198,1173.61,Card,failed,bank_decline,2,4,107,no,no,stop,0.0
P00301,C1160,1890.51,Card,failed,bank_decline,3,6,92,no,yes,retry,1890.51
P00302,C1247,579.21,UPI,success,none,0,7,52,no,no,none,0.0
P00303,C1068,2960.22,Netbanking,failed,bank_decline,4,4,28,no,yes,retry,2960.22
P00304,C1183,1288.62,Card,success,none,0,3,36,no,no,none,0.0
P00305,C1203,1000.2,UPI,success,none,0,4,116,no,no,none,0.0
P00306,C1184,3251.13,Card,success,none,0,5,64,no,no,none,0.0
P00307,C1123,872.83,Card,failed,network_error,1,3,18,yes,no,stop,0.0
P00308,C1145,514.74,UPI,success,none,0,5,89,no,no,none,0.0
P00309,C1038,460.6,Netbanking,success,none,0,3,163,no,no,none,0.0
P00310,C1024,2332.06,Netbanking,failed,network_error,1,5,78,no,yes,retry,2332.06
P00311,C1069,566.61,UPI,success,none,0,5,167,no,no,none,0.0
P00312,C1116,5519.79,Wallet,success,none,0,5,90,no,no,none,0.0
P00313,C1098,310.61,UPI,success,none,0,6,8,no,no,none,0.0
P00314,C1198,5283.49,UPI,failed,insufficient_funds,4,6,15,yes,yes,reminder,5283.49
P00315,C1214,1734.13,UPI,success,none,0,6,7,no,no,none,0.0
P00316,C1139,1376.73,Netbanking,failed,authentication_failed,5,5,17,no,yes,retry,1376.73
P00317,C1240,983.69,Card,failed,insufficient_funds,4,7,86,no,yes,retry,983.69
P00318,C1144,1996.9,UPI,success,none,0,3,118,no,no,none,0.0
P00319,C1097,1439.1,UPI,success,none,0,5,64,no,no,none,0.0
P00320,C1201,3386.24,Card,failed,technical_timeout,2,7,12,no,yes,retry,3386.24
P00321,C1124,1612.71,UPI,failed,authentication_failed,4,2,56,no,no,escalate,0.0
P00322,C1187,1656.94,Netbanking,failed,network_error,1,8,174,yes,yes,retry,1656.94
P00323,C1070,1126.97,Card,failed,insufficient_funds,4,4,175,yes,no,escalate,0.0
P00324,C1208,1418.41,UPI,failed,authentication_failed,3,2,101,no,no,stop,0.0
P00325,C1093,1864.69,Wallet,failed,bank_decline,2,5,16,yes,yes,retry,1864.69
P00326,C1003,410.5,UPI,success,none,0,5,2,no,no,none,0.0
P00327,C1148,538.54,Wallet,success,none,0,4,128,no,no,none,0.0
P00328,C1187,2584.92,Card,success,none,0,6,92,no,no,none,0.0
P00329,C1164,1682.69,Card,success,none,0,8,105,no,no,none,0.0
P00330,C1147,1289.5,UPI,failed,network_error,4,4,155,no,no,escalate,0.0
P00331,C1090,1500.91,Netbanking,success,none,0,3,31,no,no,none,0.0
P00332,C1195,1921.16,UPI,success,none,0,6,169,no,no,none,0.0
P00333,C1147,987.5,UPI,success,none,0,4,164,no,no,none,0.0
P00334,C1148,825.73,UPI,success,none,0,2,47,no,no,none,0.0
P00335,C1096,1714.51,Card,success,none,0,3,43,no,no,none,0.0
P00336,C1199,710.68,Card,success,none,0,1,65,no,no,none,0.0
P00337,C1052,2010.6,Card,failed,bank_decline,1,9,50,yes,no,stop,0.0
P00338,C1233,412.84,Netbanking,success,none,0,5,1,no,no,none,0.0
P00339,C1161,3203.08,UPI,success,none,0,3,144,no,no,none,0.0
P00340,C1168,2110.01,Card,success,none,0,4,122,no,no,none,0.0
P00341,C1128,1793.68,UPI,success,none,0,3,28,no,no,none,0.0
P00342,C1039,3093.38,Netbanking,failed,technical_timeout,2,4,86,no,no,stop,0.0
P00343,C1082,5162.14,Card,failed,technical_timeout,1,6,82,no,yes,retry,5162.14
P00344,C1104,3167.75,Card,success,none,0,4,22,no,no,none,0.0
P00345,C1129,372.17,Card,success,none,0,2,41,no,no,none,0.0
P00346,C1011,566.98,UPI,success,none,0,6,76,no,no,none,0.0
P00347,C1220,926.47,UPI,failed,technical_timeout,5,3,147,no,no,escalate,0.0
P00348,C1185,1509.55,Netbanking,failed,bank_decline,3,6,89,no,no,stop,0.0
